cph,easting,northing,cattle,pigs,sheep,goats,deer
48/175/29,495200,497500,84,0,379,0,0
48/175/43,496209,495824,0,0,24,0,0
48/175/55,496109,495738,0,0,159,0,0
48/175/56,493600,496700,533,0,5285,0,0
48/175/57,496199,495755,0,0,3,0,0
12/62/9001,442869,535001,151,2,1,0,0
12/273/539,401389,536088,1,1,53,0,0
12/273/548,391200,537800,17,1,170,0,0
12/273/567,399000,537500,3,1,214,0,0
48/473/1,485567,507599,127,0,478,0,0
48/473/3,486200,508900,32,0,0,0,0
48/473/5,484800,508200,215,0,0,0,0
48/473/8,485200,507900,0,0,17,0,0
12/40/205,414328,528855,46,2,2,0,0
12/70/72,438031,533422,85,3,1,0,0
12/602/6513,384838,527009,1,2,56,0,0
12/603/6510,396400,523500,1,15,80,0,0
8/324/7003,365500,529300,1,2,35,0,0
8/145/127,363599,531380,76,2,2214,0,0
8/145/13,361500,532700,11,1,27,0,0
8/170/7021,362071,508173,40,2,26,0,0
4/511/14,440700,513500,9,2,22,0,0
4/514/42,439400,520900,1,1,2674,0,0
4/514/7000,439972,522529,1,4,1115,0,0
4/516/64,441530,513982,1,19,71,0,0
4/516/70,442012,513433,9,8,1,0,0
4/517/12,440489,518193,4,1,2351,0,0
4/517/54,438400,519100,35,2,288,0,0
8/330/6000,374986,511062,4,1,6,0,0
8/331/24,362158,527258,7,2,33,0,0
8/333/6,373700,516800,43,1,227,0,0
8/333/65,371573,517480,23,1,716,0,0
8/333/88,372721,516124,1,1,17,0,0
8/379/3,362216,492439,4,1,468,0,0
8/379/31,362000,491900,54,2,62,0,0
8/405/168,363600,506500,7,1,90,0,0
12/2/4,411700,518600,72,0,135,0,0
12/2/11,410900,519000,116,0,495,0,0
12/2/12,411700,518700,450,0,639,0,0
12/3/24,413200,523400,0,0,25,0,0
12/4/5,400100,524700,78,0,1312,0,0
12/4/11,400100,523900,0,0,1390,0,0
12/7/1,417916,518456,46,0,465,0,0
12/9/2,417834,520720,0,0,12,0,0
12/10/5,404900,523400,118,0,1026,5,0
12/10/10,406400,524600,141,0,1088,0,0
12/10/17,410100,523300,171,0,721,0,0
12/10/19,408200,523000,100,0,0,0,0
12/10/21,408300,524300,160,0,720,0,0
12/12/34,409475,527352,122,0,966,0,0
12/12/59,410400,527700,230,0,0,0,0
12/12/98,410100,524500,23,0,83,0,0
12/12/99,409300,526800,246,0,1716,0,0
12/12/109,410400,527100,71,0,0,0,0
12/12/136,410700,524700,59,0,0,0,0
12/12/174,412500,525700,60,0,8,0,0
12/13/92,403208,518937,175,0,1113,0,0
12/14/7,398400,527900,31,0,1722,0,0
12/14/11,395500,526200,22,0,240,0,0
12/14/14,395500,525700,179,0,1477,0,0
12/14/6000,395000,525200,13,1,2780,0,0
12/15/2,418841,521227,240,0,0,0,0
12/17/3,414400,521300,48,0,989,0,0
12/17/6,413800,522700,173,0,0,0,0
12/17/11,409600,522800,0,0,1681,0,0
12/19/57,406800,518800,9,1,10,0,0
12/23/1,410400,517900,13,0,278,0,0
12/23/4,410600,517500,378,0,0,0,0
12/23/12,412200,517700,513,0,0,0,0
12/23/15,412400,518100,85,0,897,0,0
12/23/17,412300,517800,6,0,1684,0,0
12/24/21,407200,524800,50,0,113,0,0
12/31/26,421700,532500,517,0,4127,0,0
12/31/100,423000,531000,0,0,1492,2,0
12/31/391,415200,535300,252,0,625,0,0
12/31/404,414700,537600,6,0,1114,0,0
12/31/438,414900,531800,4,0,310,0,0
12/31/439,414700,533100,159,9,974,0,0
12/31/444,414600,531800,63,0,164,0,0
12/31/455,418800,536800,184,1,29,0,0
12/31/486,420600,532800,22,0,541,0,0
12/31/554,408400,537200,140,281,1032,0,0
12/31/9018,414600,531900,25,2,5,0,0
12/31/9098,414000,534000,1,80,1,0,0
12/40/17,414300,528500,200,0,793,0,0
12/40/218,414600,524500,100,0,97,0,0
12/41/93,413375,531798,4,7,94,0,0
12/53/42,420986,527409,23,0,1042,1,0
12/54/4,409400,530300,194,0,1771,0,0
12/54/6,408300,529500,128,0,212,0,0
12/54/19,411800,533400,55,0,2601,0,0
12/54/26,407600,529000,154,0,1337,0,0
12/55/6,419036,524460,102,0,309,6,0
12/55/16,418668,525365,0,77,0,0,0
12/55/91,416900,524700,0,0,296,0,0
12/55/114,417500,527600,34,33,16,1,0
12/55/115,419414,525520,0,720,1359,0,0
12/55/120,418800,524400,20,2001,5537,0,0
12/55/122,417000,528000,51,2,84,0,0
12/55/124,417600,525300,64,2,5,0,0
12/55/127,419400,526100,0,1000,0,0,0
12/86/9,431700,521600,265,0,0,0,0
12/86/10,430600,522100,129,0,494,0,0
12/86/12,430200,521300,7,0,570,0,0
