cph,i,n,r,type
12/208/121,36.5665651636246,41,43,IP
8/320/17,165.347969845551,171,171,IP
8/320/18,214.995400910596,219,220,IP
8/320/47,148.776150487375,154,155,IP
8/395/24,142.236773507989,145,146,IP
8/395/26,177.028725260972,179,179,IP
8/395/34,178.54351784608,180,180,IP
8/398/15,39.3181064162314,48,50,IP
8/398/22,129.320230521502,131,132,IP
8/398/25,108.750244427229,114,115,IP
31/480/5000,20.4109314583662,30,30,IP
8/324/6501,53.8060615349504,57,58,IP
12/181/6500,50.7208309320908,57,58,IP
8/322/6501,52.2475451251992,59,59,IP
49/345/6500,91.7937505714263,95,96,IP
48/538/6503,153.159780686857,158,158,IP
48/480/6508,155.681841312927,159,159,IP
48/480/6503,145.707181532633,150,149,IP
8/163/6502,156.057320285394,160,160,IP
8/403/15,113.669585247084,116,116,IP
